"model_type","type","severity","stage","n_iter","gini_mean","gini_sd","brier_mean","brier_sd","oe_mean","oe_sd","ks_mean","ks_sd"
"glm","clean","none","clean",10,0.607662058768412,0.00938684276314918,0.021690522818844,0.00110976403268232,0.999999999996563,6.56405122172880e-12,0.456189961676431,0.00868003819880644
"glm","impl","mild","prepared",10,0.602119170434725,0.0103112063892786,0.0222570770347115,0.00110693673811172,0.964612810356068,0.0217206670524987,0.456012036594845,0.0096712912335573
"glm","impl","mild","impaired",10,0.593941602147518,0.0115061937314074,0.0224175474339625,0.00108822648883381,0.99867943905468,0.00855665622380314,0.449807778222521,0.0129953886904791
"glm","impl","severe","prepared",10,0.591206795754815,0.0131417928394572,0.0224086528258695,0.00108731142497762,0.999862074080405,0.0294019820367444,0.44644400594773,0.0128358730804871
"glm","impl","severe","impaired",10,0.593781336286706,0.0114670988433174,0.022419702836131,0.00109116300927359,0.996765777038462,0.0119373723819123,0.448980366940733,0.0133043598142604
"glm","mar","mild","prepared",10,0.609276243743483,0.00965038752212362,0.0220670774333422,0.00117631310357203,0.862603401305806,0.0105340700029887,0.458561423319019,0.00839470359218139
"glm","mar","mild","impaired",10,0.60799625582576,0.00949879475810982,0.0217016191211693,0.00111681251768807,0.994195935806173,0.011845199510612,0.456802076850603,0.00959942983746822
"glm","mar","severe","prepared",10,0.606865493284334,0.00931524325148914,0.0221543220224609,0.00119619395177056,0.841766019073228,0.0121022820608811,0.456315609970855,0.00700348473946437
"glm","mar","severe","impaired",10,0.607233320892428,0.0091126383631636,0.0217097908600754,0.00109791126958129,1.00427114068111,0.02805045641814,0.457131267653012,0.00993903207880515
"glm","mcar","mild","prepared",10,0.612101013247697,0.00961768478801951,0.0220874845384743,0.00119475469804722,0.873793825165786,0.0148264786347901,0.459948969868423,0.00840013122627161
"glm","mcar","mild","impaired",10,0.607768318920622,0.00865025450917002,0.0217037188098655,0.00110645174216963,0.996339889606268,0.0224813378368057,0.455565482210216,0.00833493244520176
"glm","mcar","severe","prepared",10,0.611795414804482,0.00998140235012536,0.0222508569321664,0.00118399619441537,0.869931570384833,0.0184295629517735,0.460391141993613,0.00996000266674058
"glm","mcar","severe","impaired",10,0.597919722178062,0.00935145968056645,0.0217569099589374,0.0011428993461005,1.03815378851052,0.0367273719809206,0.446055774034209,0.0063931343208385
"glm","mnar","mild","prepared",10,0.611711301618999,0.00950536181978955,0.0220912865302007,0.00116342754903814,0.879651062980605,0.0160242187158212,0.460939136914429,0.00765151745798018
"glm","mnar","mild","impaired",10,0.60869950913028,0.00945888683350789,0.0217279347145854,0.0011034192835923,1.0447572574127,0.0304281307450959,0.456883611773116,0.0106752857675173
"glm","mnar","severe","prepared",10,0.611746662049714,0.00953896216962298,0.0221439941404056,0.0011674130738647,0.88671281143223,0.00893773558212126,0.460905801932356,0.00781226688366286
"glm","mnar","severe","impaired",10,0.6080515999925,0.00759499878619049,0.0218220479242896,0.00108532647463049,1.14310781927043,0.0322043561242539,0.457411146952145,0.00782395087951964
"glm","noise","mild","prepared",10,0.611686070556341,0.00953761797305866,0.0219234236689071,0.0011316157133247,0.911231404708148,0.0104559844951728,0.460134675100199,0.00709127226811418
"glm","noise","mild","impaired",10,0.609922490685279,0.00920420013640685,0.0217254637601345,0.00111269999534674,1.01102644804531,0.00205708169601652,0.458071929997538,0.0100683567859932
"glm","noise","severe","prepared",10,0.610320394752114,0.0099490998423951,0.0220323935484785,0.00110322564816941,0.982823610209915,0.00482602980193201,0.460097816245116,0.0102049516582299
"glm","noise","severe","impaired",10,0.610804027948078,0.00967191152254894,0.021987822757951,0.00109596079996296,1.0271529902699,0.0052885769709369,0.459963408040064,0.00920447150355243
"xgboost","clean","none","clean",10,0.855697997212189,0.00820845314677595,0.0188382909382495,0.0010668309894816,0.997134014500583,0.0046088036512212,0.708176377372867,0.0122134679203672
"xgboost","impl","mild","prepared",10,0.836910113599067,0.00973297093739064,0.0194921548622667,0.00110177610150107,1.02147955964871,0.0357477825188495,0.684231266076925,0.0143954764443636
"xgboost","impl","mild","impaired",10,0.831799108214836,0.00878073584024715,0.0192695003594744,0.00111070151121226,1.00312430563239,0.0276203958185896,0.677396774633185,0.0131368784186547
"xgboost","impl","severe","prepared",10,0.790814053717305,0.00791029203719099,0.0199275790089739,0.00105525199700649,1.03048208240544,0.044394984941033,0.630113339201124,0.0133669929624063
"xgboost","impl","severe","impaired",10,0.797687997305816,0.00918467572875691,0.0199329965883989,0.00109859680299706,1.02454114579998,0.0396918506030511,0.636728628471334,0.0148790067414556
"xgboost","mar","mild","prepared",10,0.851898971524536,0.00858306191120382,0.0192261716305731,0.00102497327104065,0.994886969010758,0.0135033447252151,0.7055055198059,0.0136565257246232
"xgboost","mar","mild","impaired",10,0.850102521917197,0.00959012842884184,0.0189278052012741,0.00108365498797344,0.992290645585903,0.0138035488609783,0.700344747567017,0.0153366732994667
"xgboost","mar","severe","prepared",10,0.834686011031281,0.00824693961196045,0.0194353726451051,0.00106140375619798,1.006122520664,0.0350263538603224,0.680864294677675,0.0107065886350703
"xgboost","mar","severe","impaired",10,0.831487534380461,0.0105799904640379,0.0191327737756654,0.00105287632170227,1.00441230674281,0.0333450237723947,0.677077422895423,0.0148642649623621
"xgboost","mcar","mild","prepared",10,0.834370572662741,0.00942204665334315,0.0194327731479134,0.00104999466524889,0.99126109272437,0.0252987176827469,0.682028304152621,0.0149417987019286
"xgboost","mcar","mild","impaired",10,0.836633398336779,0.00903111171374776,0.0190974123790776,0.00107023906839579,0.99400705534139,0.0257218096625696,0.684108028168318,0.0142194300361316
"xgboost","mcar","severe","prepared",10,0.772638927109114,0.00954304063058144,0.0202627015645128,0.00102588176348689,1.0269282879885,0.0431023867993852,0.612035564661383,0.0107099763588515
"xgboost","mcar","severe","impaired",10,0.771483000966215,0.00875819710714503,0.0199354435905865,0.00109460097449077,1.04697645736221,0.0397121145220218,0.606361357252607,0.0133185772856523
"xgboost","mnar","mild","prepared",10,0.852996628664549,0.00690541046142766,0.0195029557753157,0.000972873354286955,1.04141571140552,0.0322572163304797,0.704895515342728,0.0126698447410803
"xgboost","mnar","mild","impaired",10,0.849671395657046,0.00844348656455946,0.0191963555371193,0.00104935901010754,1.0431372485749,0.0309987822486392,0.697817082328929,0.0173176600423168
"xgboost","mnar","severe","prepared",10,0.843004445345562,0.00883646640338613,0.0200068035789079,0.00101419551940337,1.13399701195542,0.0250529410287409,0.692783440758092,0.0143443317764679
"xgboost","mnar","severe","impaired",10,0.83534206033787,0.00907524838673214,0.019630692311781,0.00105176838129904,1.12531758622048,0.0272498506513195,0.680049785827391,0.0137184222528989
"xgboost","noise","mild","prepared",10,0.717211711409445,0.00733032072751171,0.0208723522872515,0.00108859733919771,1.02170548815655,0.0105106742904161,0.553705242360759,0.00905864760407823
"xgboost","noise","mild","impaired",10,0.718417627655844,0.00914631397895299,0.0206273735406089,0.00112714857325889,1.02649908725988,0.0127656770991247,0.550235553383534,0.00846634794288898
