"model_type","type","severity","stage","dgini_mean","dgini_sd","dbrier_mean","dbrier_sd","doe_mean","doe_sd","dks_mean","dks_sd"
"glm","impl","mild","prepared",-0.00554288833368715,0.00557124514646881,0.000566554215867448,0.000136933234252837,-0.0353871896404947,0.02172066705193,-0.000177925081585889,0.00788340421975472
"glm","impl","mild","impaired",-0.0137204566208936,0.0047330889527593,0.000727024615118452,9.67778591777019e-05,-0.00132056094188291,0.00855665622229363,-0.00638218345390978,0.00946413325201383
"glm","impl","severe","prepared",-0.0164552630135974,0.00645963738451677,0.000718130007025521,9.25320048495027e-05,-0.000137925916157589,0.0294019820332514,-0.0097459557287002,0.00960425758165732
"glm","impl","severe","impaired",-0.0138807224817058,0.00473064291083865,0.000729180017286961,9.12280216284321e-05,-0.00323422295810071,0.0119373723806932,-0.00720959473569714,0.00949651685663319
"glm","mar","mild","prepared",0.00161418497507069,0.00144896506277117,0.000376554614498203,9.54391028755352e-05,-0.137396598690756,0.0105340700038991,0.00237146164258812,0.0040322497098437
"glm","mar","mild","impaired",0.000334197057347496,0.000703883925072919,1.10963023252621e-05,9.91851316010395e-06,-0.00580406419038927,0.01184519950896,0.000612115174172528,0.00330411436488017
"glm","mar","severe","prepared",-0.000796565484078249,0.00166698863963761,0.000463799203616876,0.000127512730957828,-0.158233980923335,0.0121022820631371,0.000125648294424036,0.00402609954039783
"glm","mar","severe","impaired",-0.000428737875984542,0.00232591170938921,1.92680412313941e-05,2.12334650640111e-05,0.00427114068454949,0.0280504564207558,0.00094130597658148,0.00596468297697937
"glm","mcar","mild","prepared",0.00443895447928473,0.00186380478725718,0.000396961719630272,0.000103379061331314,-0.126206174830777,0.0148264786360551,0.00375900819199259,0.00400080826767635
"glm","mcar","mild","impaired",0.000106260152209936,0.00159463137360666,1.31959910215248e-05,1.84120114251597e-05,-0.00366011039029512,0.0224813378361299,-0.000624479466214906,0.00470716620698472
"glm","mcar","severe","prepared",0.00413335603607026,0.00205548583461853,0.000560334113322346,9.48216982448836e-05,-0.13006842961173,0.0184295629533207,0.00420118031718265,0.00432040643090442
"glm","mcar","severe","impaired",-0.00974233659035009,0.00344981379907698,6.63871400933911e-05,7.12033626603401e-05,0.0381537885139607,0.0367273719819848,-0.0101341876422216,0.00630841855577587
