"stage","type","severity","term","est_mean","est_sd","true","clean_est_mean","diff_from_clean"
"clean","clean","none","crefo",0.133986673586543,0.0966817115790855,0.3,0.133986673586543,0
"prepared","impl","mild","crefo",1.01456763099231,0.100838012365162,0.3,0.133986673586543,0.880580957405763
"impaired","impl","mild","crefo",1.1594949140945,0.0325700722313572,0.3,0.133986673586543,1.02550824050796
"prepared","impl","severe","crefo",1.16743704550302,0.0311943134496531,0.3,0.133986673586543,1.03345037191648
"impaired","impl","severe","crefo",1.15929148428121,0.0315938320989745,0.3,0.133986673586543,1.02530481069467
"prepared","mar","mild","crefo",0.279720377236617,0.0754575867807498,0.3,0.133986673586543,0.145733703650075
"impaired","mar","mild","crefo",0.160960846088613,0.11496451289066,0.3,0.133986673586543,0.0269741725020701
"prepared","mar","severe","crefo",0.156143179169899,0.0910721211759285,0.3,0.133986673586543,0.0221565055833563
"impaired","mar","severe","crefo",0.155651763334517,0.104531049771028,0.3,0.133986673586543,0.0216650897479746
"prepared","mcar","mild","crefo",0.493729643390218,0.0836628227317567,0.3,0.133986673586543,0.359742969803676
"impaired","mcar","mild","crefo",0.13825672332061,0.0953434824545452,0.3,0.133986673586543,0.00427004973406797
"prepared","mcar","severe","crefo",0.749553840287517,0.0652413442752059,0.3,0.133986673586543,0.615567166700974
"impaired","mcar","severe","crefo",0.0239540197133306,0.187125025054245,0.3,0.133986673586543,-0.110032653873212
"prepared","mnar","mild","crefo",0.454482013062056,0.084744454782334,0.3,0.133986673586543,0.320495339475513
"impaired","mnar","mild","crefo",0.178141733978198,0.107976383550938,0.3,0.133986673586543,0.0441550603916556
"prepared","mnar","severe","crefo",0.52249225591769,0.0949939415424649,0.3,0.133986673586543,0.388505582331147
"impaired","mnar","severe","crefo",0.230579790114327,0.140645312657468,0.3,0.133986673586543,0.0965931165277842
"prepared","noise","mild","crefo",0.434315718977008,0.0865992610827884,0.3,0.133986673586543,0.300329045390465
"impaired","noise","mild","crefo",0.25289890924788,0.0922884985904749,0.3,0.133986673586543,0.118912235661337
"prepared","noise","severe","crefo",0.81014498048922,0.0460589060993233,0.3,0.133986673586543,0.676158306902678
"impaired","noise","severe","crefo",0.724392665880462,0.0447161221120257,0.3,0.133986673586543,0.590405992293919
"clean","clean","none","debt_to_equity",0.429572432676682,0.0434391556114218,0.4,0.429572432676682,0
"prepared","impl","mild","debt_to_equity",0.109890943223132,0.0851084678352369,0.4,0.429572432676682,-0.31968148945355
"impaired","impl","mild","debt_to_equity",0.00318958994778812,0.00546004048878087,0.4,0.429572432676682,-0.426382842728894
"prepared","impl","severe","debt_to_equity",0.0114365131712154,0.00584022312927191,0.4,0.429572432676682,-0.418135919505467
"impaired","impl","severe","debt_to_equity",0.00248511907467724,0.003111814730297,0.4,0.429572432676682,-0.427087313602005
"prepared","mar","mild","debt_to_equity",0.503984932133701,0.0486538836843828,0.4,0.429572432676682,0.0744124994570189
"impaired","mar","mild","debt_to_equity",0.418124651524924,0.0515081564551055,0.4,0.429572432676682,-0.0114477811517578
"prepared","mar","severe","debt_to_equity",0.571754937681189,0.038168824318792,0.4,0.429572432676682,0.142182505004507
"impaired","mar","severe","debt_to_equity",0.414932303795417,0.0548581940500074,0.4,0.429572432676682,-0.0146401288812652
"prepared","mcar","mild","debt_to_equity",0.401901558527171,0.0570941712610911,0.4,0.429572432676682,-0.0276708741495109
"impaired","mcar","mild","debt_to_equity",0.435673577740576,0.0411811320993106,0.4,0.429572432676682,0.00610114506389409
"prepared","mcar","severe","debt_to_equity",0.307308926533715,0.0502465615047643,0.4,0.429572432676682,-0.122263506142968
"impaired","mcar","severe","debt_to_equity",0.476382949526657,0.0793766944794544,0.4,0.429572432676682,0.0468105168499747
"prepared","mnar","mild","debt_to_equity",0.454343968264984,0.0454067656973505,0.4,0.429572432676682,0.0247715355883014
"impaired","mnar","mild","debt_to_equity",0.414702205482073,0.0504157782344701,0.4,0.429572432676682,-0.014870227194609
"prepared","mnar","severe","debt_to_equity",0.448231678166424,0.0489851044634404,0.4,0.429572432676682,0.018659245489742
"impaired","mnar","severe","debt_to_equity",0.401753452964099,0.0662165602135585,0.4,0.429572432676682,-0.0278189797125831
"prepared","noise","mild","debt_to_equity",0.395216142926764,0.0477116187171808,0.4,0.429572432676682,-0.0343562897499184
"impaired","noise","mild","debt_to_equity",0.378630826513505,0.0448131827652465,0.4,0.429572432676682,-0.0509416061631774
"prepared","noise","severe","debt_to_equity",0.17624008836122,0.0293477841902019,0.4,0.429572432676682,-0.253332344315462
"impaired","noise","severe","debt_to_equity",0.182998012504886,0.0215664944687693,0.4,0.429572432676682,-0.246574420171796
"clean","clean","none","firm_age",-0.106386791934536,0.0469695459753784,-0.2,-0.106386791934536,0
