"stage","type","severity","Feature","gain_mean","gain_sd"
"clean","clean","none","crefo_z",0.310880340275673,0.032628342409988
"prepared","impl","mild","crefo_z",0.336955567816841,0.0244910277372353
"impaired","impl","mild","crefo_z",0.33735677420018,0.0267611875205875
"prepared","impl","severe","crefo_z",0.349192386435697,0.0242768997499542
"impaired","impl","severe","crefo_z",0.350318138067419,0.0244551157714564
"prepared","mar","mild","crefo_z",0.279610257158312,0.0249657316682811
"impaired","mar","mild","crefo_z",0.284443890246616,0.0330878724012547
"prepared","mar","severe","crefo_z",0.162826390429779,0.0193473009139527
"impaired","mar","severe","crefo_z",0.188735685822959,0.017957648167314
"prepared","mcar","mild","crefo_z",0.338317737514175,0.0264398721905271
"impaired","mcar","mild","crefo_z",0.299735760180893,0.0245638134137509
"prepared","mcar","severe","crefo_z",0.388900768300827,0.0310027994369356
"impaired","mcar","severe","crefo_z",0.336751796095542,0.026789676454612
"prepared","mnar","mild","crefo_z",0.324836165522622,0.0328731622137048
"impaired","mnar","mild","crefo_z",0.311603570922751,0.0315947380870426
"prepared","mnar","severe","crefo_z",0.335430842026802,0.0298520992346903
"impaired","mnar","severe","crefo_z",0.318156271492081,0.0292720241080099
"prepared","noise","mild","crefo_z",0.32356138105114,0.034000633224821
"impaired","noise","mild","crefo_z",0.317831611206856,0.0343470946195986
"prepared","noise","severe","crefo_z",0.354898355156592,0.0242851509370153
"impaired","noise","severe","crefo_z",0.349058389326421,0.0259722461154855
"clean","clean","none","debt_to_equity_z",0.217182124959958,0.0298555486634701
"prepared","impl","mild","debt_to_equity_z",0.185502827378812,0.0148561490160601
"impaired","impl","mild","debt_to_equity_z",0.197378028595175,0.0160417591285521
"prepared","impl","severe","debt_to_equity_z",0.189114157482915,0.01566374110698
"impaired","impl","severe","debt_to_equity_z",0.191432238836127,0.0222549902220165
"prepared","mar","mild","debt_to_equity_z",0.218304779193467,0.0244650796168137
"impaired","mar","mild","debt_to_equity_z",0.24047767906888,0.0273899613887223
"prepared","mar","severe","debt_to_equity_z",0.270846281625672,0.00925636098069509
"impaired","mar","severe","debt_to_equity_z",0.285169900265977,0.0155714655717525
"prepared","mcar","mild","debt_to_equity_z",0.185227374659333,0.0231371674238264
"impaired","mcar","mild","debt_to_equity_z",0.214917462855049,0.0282343118917387
"prepared","mcar","severe","debt_to_equity_z",0.165058436737199,0.0203040588798027
"impaired","mcar","severe","debt_to_equity_z",0.19470222160395,0.0202893696413371
"prepared","mnar","mild","debt_to_equity_z",0.202437429203434,0.0276295691727961
"impaired","mnar","mild","debt_to_equity_z",0.217048124445804,0.0273061327320527
"prepared","mnar","severe","debt_to_equity_z",0.209963315165032,0.0248619302521932
"impaired","mnar","severe","debt_to_equity_z",0.223688262971861,0.0279144465140871
"prepared","noise","mild","debt_to_equity_z",0.181983115363987,0.0300799789134359
"impaired","noise","mild","debt_to_equity_z",0.203851912607119,0.0333518330180542
"prepared","noise","severe","debt_to_equity_z",0.170708168887934,0.0153406105338781
"impaired","noise","severe","debt_to_equity_z",0.188549912788264,0.0183343991825812
"clean","clean","none","firm_age_z",0.134648316348835,0.0118495703536218
"prepared","impl","mild","firm_age_z",0.139316167137918,0.00999628300575317
"impaired","impl","mild","firm_age_z",0.136892580279692,0.0116762442808325
"prepared","impl","severe","firm_age_z",0.139650658184742,0.00912782237982039
"impaired","impl","severe","firm_age_z",0.139735004045583,0.0116871191448611
"prepared","mar","mild","firm_age_z",0.142218483132053,0.00928164092632197
"impaired","mar","mild","firm_age_z",0.133419743002932,0.0098354550126532
"prepared","mar","severe","firm_age_z",0.145209525807174,0.0113253001577689
"impaired","mar","severe","firm_age_z",0.13292692074657,0.0122774893733134
"prepared","mcar","mild","firm_age_z",0.139371866251356,0.0112435071028016
"impaired","mcar","mild","firm_age_z",0.145157820410677,0.00977933552193221
"prepared","mcar","severe","firm_age_z",0.135006695215081,0.0093620947475448
"impaired","mcar","severe","firm_age_z",0.141247643669937,0.00894612348168832
"prepared","mnar","mild","firm_age_z",0.142264565378817,0.00998705884721265
"impaired","mnar","mild","firm_age_z",0.134110285839519,0.0132998409013659
"prepared","mnar","severe","firm_age_z",0.147312041793167,0.00927799191959933
"impaired","mnar","severe","firm_age_z",0.13804915957458,0.0119913739327365
"prepared","noise","mild","firm_age_z",0.143424528654389,0.0118739238220831
"impaired","noise","mild","firm_age_z",0.138465830899665,0.00996013381595963
"prepared","noise","severe","firm_age_z",0.143694162843068,0.0116160247828707
"impaired","noise","severe","firm_age_z",0.138906533538255,0.00834165780104439
"clean","clean","none","interest_cov_z",0.16826691805259,0.0209873204777749
"prepared","impl","mild","interest_cov_z",0.169879974841305,0.015283725890166
"impaired","impl","mild","interest_cov_z",0.164427401218157,0.0161955827128042
"prepared","impl","severe","interest_cov_z",0.156049080259531,0.0123999366359434
"impaired","impl","severe","interest_cov_z",0.155219958958315,0.0116022022319672
"prepared","mar","mild","interest_cov_z",0.18457727830041,0.022845139810151
"impaired","mar","mild","interest_cov_z",0.1734349688483,0.0219940112206597
"prepared","mar","severe","interest_cov_z",0.226616844215423,0.0224442370751519
"impaired","mar","severe","interest_cov_z",0.208122778840789,0.0220736767816889
"prepared","mcar","mild","interest_cov_z",0.172211228502997,0.0151802717249845
"impaired","mcar","mild","interest_cov_z",0.171107397813594,0.0114008625857725
"prepared","mcar","severe","interest_cov_z",0.154290629233344,0.0114856021968942
"impaired","mcar","severe","interest_cov_z",0.160953572543482,0.0128535699524947
"prepared","mnar","mild","interest_cov_z",0.158672768881961,0.0118563086057994
"impaired","mnar","mild","interest_cov_z",0.170961076395225,0.0107180441019234
"prepared","mnar","severe","interest_cov_z",0.129087151881235,0.00829536578122617
"impaired","mnar","severe","interest_cov_z",0.14758935105194,0.00832930732810025
"prepared","noise","mild","interest_cov_z",0.1831939142502,0.0136346500970371
"impaired","noise","mild","interest_cov_z",0.172627708455763,0.0150363771044205
"prepared","noise","severe","interest_cov_z",0.16643508101412,0.0082310785452409
"impaired","noise","severe","interest_cov_z",0.159458337996726,0.00927314692695038
"clean","clean","none","log_assets_z",0.14813266743896,0.00661600973699748
"prepared","impl","mild","log_assets_z",0.147788836999451,0.00825190847765365
"impaired","impl","mild","log_assets_z",0.143782428417784,0.00622205320643586
"prepared","impl","severe","log_assets_z",0.144232918337497,0.00714072034352053
"impaired","impl","severe","log_assets_z",0.142525721943953,0.00543355924063351
"prepared","mar","mild","log_assets_z",0.15375144501417,0.00664261828625354
"impaired","mar","mild","log_assets_z",0.146615827837304,0.00934065853628397
"prepared","mar","severe","log_assets_z",0.168714962458297,0.0129598350608423
"impaired","mar","severe","log_assets_z",0.16150153430417,0.0112260120758189
"prepared","mcar","mild","log_assets_z",0.145276570468466,0.0109522787527361
"impaired","mcar","mild","log_assets_z",0.151090565328616,0.00675792731632072
"prepared","mcar","severe","log_assets_z",0.135397920587437,0.00934664834308677
"impaired","mcar","severe","log_assets_z",0.147269011316143,0.00802143057911305
"prepared","mnar","mild","log_assets_z",0.15156483478947,0.00787141203241093
"impaired","mnar","mild","log_assets_z",0.146426105650392,0.0106708299642654
"prepared","mnar","severe","log_assets_z",0.15707300850745,0.00968933705403584
"impaired","mnar","severe","log_assets_z",0.152052306695983,0.00845647962816305
"prepared","noise","mild","log_assets_z",0.147371273006321,0.0073386333362295
"impaired","noise","mild","log_assets_z",0.146958824470704,0.00677142684934446
"prepared","noise","severe","log_assets_z",0.145232498713546,0.00677734836150176
"impaired","noise","severe","log_assets_z",0.144789395397989,0.00784347109476874
"clean","clean","none","sector_2",0.0129221273398323,0.00214245675024907
"prepared","impl","mild","sector_2",0.0122200919558119,0.00294293656579394
"impaired","impl","mild","sector_2",0.0125247930484565,0.00228205139087353
"prepared","impl","severe","sector_2",0.0130452582217748,0.00277265497612194
"impaired","impl","severe","sector_2",0.0115981044231209,0.0017353860268231
"prepared","mar","mild","sector_2",0.0138539344488954,0.0026394176860721
"impaired","mar","mild","sector_2",0.0141491684684223,0.00225557172917644
"prepared","mar","severe","sector_2",0.0174588235036582,0.00296072529764866
"impaired","mar","severe","sector_2",0.0161220316107666,0.00309752580223762
"prepared","mcar","mild","sector_2",0.0115120639254469,0.00255165515750407
"impaired","mcar","mild","sector_2",0.0108737545245784,0.00217929976395943
"prepared","mcar","severe","sector_2",0.0118217070249296,0.00250256434990029
"impaired","mcar","severe","sector_2",0.010654068267649,0.00212258895301
